Sentence,Period,Year,Structure,ClauseType,Construction,Mverbf,Mfiniteness,MatrixMood,Mmoodrase,Everbf,Everbfiniteness,Everbmood,Everbmoodrase,Complementizer
"No cree que podrá désta escaparse, el mercader lo piensa en ser tercera y así comiensa luego a repararse ",1500,c1580 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,podra,finite,ind,ind,That
"Sr. Donoso no cree que se puede llevar a todo un pueblo a un tribunal de justicia, tampoco se ha de llevar a una nación ",1800,1845,no creer que V,non-interrogative,other,cree,finite,ind,ind,puede,finite,ind,ind,That
El que no cree que resuzitó Cristo,1500,1557,no creer que V,non-interrogative,other,cree,finite,ind,ind,resucito,finite,ind,ind,That
y no cree que tiene obligaciones,1900,1930,no creer que V,non-interrogative,other,cree,finite,ind,ind,tiene,finite,ind,ind,That
no cree que va a encontrar un marido en la lección de geografía y de historia... ¡Teniendo dote! Esto no ,1800,1835,no creer que V,non-interrogative,other,cree,finite,ind,ind,va,finite,ind,ind,That
"no cree que vivirá en las vidas de sus descendientes de carne, sino en las de los que admiren sus cuadr",1900,1917,no creer que V,non-interrogative,other,cree,finite,ind,ind,vivirá,finite,ind,ind,That
"no cree que anden por allí espíritus puros como los angélicos, ni otros por el estilo de los hombres.",1800,1855-1875 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,anden,finite,subj,subj1,That
"no cree que deba insistir en este punto, porque con ello podría alterarse la numeración asignada a ",1900,1946,no creer que V,non-interrogative,other,cree,finite,ind,ind,deba,finite,subj,subj1,That
"no cree que deje por ninguna guisa Rugero a quien lo pena y lo desuela: mas si no torna, jura aquí sin risa que no [quedará rota] así su tela: o peleará con él, o por partido mantener le hará lo prometido",1500,1549,no creer que V,non-interrogative,other,cree,finite,ind,ind,deje,finite,subj,subj1,That
"No cree que existan unas «leyes» que dirijan el progreso cultural, sino que las diferencias observables serían ",1900,1973,no creer que V,non-interrogative,other,cree,finite,ind,ind,existan,finite,subj,subj1,That
"no cree que existan ideas generales ; no puede haber, por  ejemplo, una idea general del triángulo, porque ",1900,1941-1970 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,existan,finite,subj,subj1,That
"no cree que haya Dios, ni justicia, ni resurrección, ni Jesucristo, ni Sagrada Escritura, ni nada; sino que todo ",1800,1880-1881 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,haya,finite,subj,subj1,That
no cree que haya nada digno de ser observado fuera de su especialidad.,1900,1946,no creer que V,non-interrogative,other,cree,finite,ind,ind,haya,finite,subj,subj1,That
"no cree que haya de ser forzosamente única. Considera posibles tres formas puras, regidas por el interés ",1900,1941-1970 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,haya,finite,subj,subj1,That
no cree q ue   llegara jamas el quando. ,1500,c1580-1591 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,llegara,finite,subj,subj2,That
e non cree que pueda estar vencida ,1400,c1430,no creer que V,non-interrogative,other,cree,finite,ind,ind,pueda,finite,subj,subj1,That
"no cree que pueda ser reincidente, ni que consagre al mal la vida que le ha dejado.",1800,1865,no creer que V,non-interrogative,other,cree,finite,ind,ind,pueda,finite,subj,subj1,That
no cree que pueda encontrar una valuta que precise el orden que debe guardarse en la consecución de ,1900,1962,no creer que V,non-interrogative,other,cree,finite,ind,ind,pueda,finite,subj,subj1,That
"ca non cree que sea otro dios. Seneca dize: ninguna  cosa se puede aconparar al onbre avariçioso, nin otra ",1400,a1424-1520 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,sea,finite,subj,subj1,That
"no cree que sea cierto el crimen que denuncio... Ha criado a sus pechos a mi marido, y la engaña el amor de madre",1800,1849,no creer que V,non-interrogative,other,cree,finite,ind,ind,sea,finite,subj,subj1,That
no cree que sea civil ni humano siquiera ,1900,1921,no creer que V,non-interrogative,other,cree,finite,ind,ind,sea,finite,subj,subj1,That
no cree que tengan tantas ni tales ceremonias en su servicio; y dice otras cosas muchas admirables de ,1500,a1585,no creer que V,non-interrogative,other,cree,finite,ind,ind,tengan,finite,subj,subj1,That
no cree que triunfen sus doctrinas en este mundo porque no son de él. Y es mejor que no triunfen. ,1900,1913,no creer que V,non-interrogative,other,cree,finite,ind,ind,triunfen,finite,subj,subj1,That
no cree que vayamos pronto a Madrid; estima en poco la causaque aquí defendemos. Se lo conozco en la ,1800,1876,no creer que V,non-interrogative,other,cree,finite,ind,ind,vayamos,finite,subj,subj1,That
Si no creéis que es esto,1600,1640-1644 ,no creer que V,non-interrogative,other,creeis,finite,ind,ind,es,finite,ind,ind,That
Crespo Si no creéis que es esto,1600,1640-1644 ,no creer que V,non-interrogative,other,creeis,finite,ind,ind,es,finite,ind,ind,That
"No creéis que es posible hacer mal y discurrir bien, ni ser precavido siendo delincuente, ni sostenerse ",1800,1865,no creer que V,non-interrogative,other,creeis,finite,ind,ind,es,finite,ind,ind,That
no creeys que ha de morir segun la humanidad (andad) Lyra. conuiene asaber enel conocimiento de Christo ,1400,a1485,no creer que V,non-interrogative,other,creeis,finite,ind,ind,ha,finite,ind,ind,That
"no creéis que hay aquí, en el cerebro, un cielo más inmenso que ese cielo que rueda sobre nuestras cabezas",1800,1862,no creer que V,non-interrogative,other,creeis,finite,ind,ind,hay,finite,ind,ind,That
no creéis que soy el viento,1600,1682,no creer que V,non-interrogative,other,creeis,finite,ind,ind,soy,finite,ind,ind,That
"No creéis que vale quizás más matar al hombre negro antes de que nos extermine?"" Entonces levanté ",1900,c1916,no creer que V,non-interrogative,other,creeis,finite,ind,ind,vale,finite,ind,ind,That
no creéis que pueda conservarse intacta la fe del catolicismo sin el predominio y protectorado de un Trono omnímodo,1800,1846,no creer que V,non-interrogative,other,creéis,finite,ind,ind,pueda,finite,subj,subj1,That
"no creemos que acordarán todos sus simpatías al candidato ruso, pues en pormenores de mucha menos ",1800,a1870,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,acordarán,finite,ind,ind,That
"quales no creemos que aveis tenido ni teneys, mas proporneys vuestras casa e persona por el buen regimiento e ",1500,1516,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,aveis,finite,ind,ind,That
"no creemos que debe haberla. No sabiéndose si el preso es delincuente, ni en qué grado, ni de qué ",1800,1877,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,debe,finite,ind,ind,That
"no creemos que deja de haber culpa en el delincuente político, como á veces se le condena sin ella, otras se ",1800,1877,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,deja,finite,ind,ind,That
no creemos que dijo tal el famoso autor de la inestimable obra Conservación de Monarquías;  dijo,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,dijo,finite,ind,ind,That
"no creemos que es peligro ni daño el que passa por los otros, mas el que nos avemos de sufrir ya ",1300,1300-1305 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,es,finite,ind,ind,That
no creemos que es preciso en el momento presente examinar con detalle.,1900,1966,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,es,finite,ind,ind,That
"no creemos que se hallarían mayores facilidades. Suponiendo lo que por mucho tiempo será imposible, que ",1800,1877,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,hallarian,finite,ind,ind,That
No creemos que se oculta a vuestra santidad por cuánto tiempo ha dominado el error de los arrianos en España,1800,1880-1881 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,oculta,finite,ind,ind,That
"no creemos que podrá volver a suceder, y creemos que las felicidades, o se detendrán, o pasarán otra ",1600,1640-1642 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,podra,finite,ind,ind,That
"no creemos que puede tener inconvenientes para la salud una reclusión que no debe ser larga, sino en casos ",1800,1877,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,puede,finite,ind,ind,That
no creo que puede aver persona que le aconseje otra cosa. Vemos que con tener la sede Appostolica  seminarios ,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,puede,finite,ind,ind,That
"no creemos que queda contradicción. El poder político sólo pueden darle, o el derecho hereditario, en ",1800,1845,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,queda,finite,ind,ind,That
"no creemos que será necesario, porque las rebeldías, muy raras en el sistema de aislamiento, se verifican ",1800,1877,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,será,finite,ind,ind,That
no creemos que va mucho en cumplir del todo lo que Dios nos manda.,1500,a1527,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,va,finite,ind,ind,That
", no creemos que verná en concierto. E si él saliesse de donde está sin amor del rey, sería peor el recaer en ",1500,1516,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,verná,finite,ind,ind,That
No creemos que se nos arguya por este pensamiento: los Propios que en épocas no muy remotas eran el áncora ,1800,1854,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,arguya,finite,subj,subj1,That
"no creemos que aya persona que no dé la mitad de todos sus bienes, por tener la otra mitad e su persona ",1400,1481-1496 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,aya,finite,subj,subj1,That
pero no creemos que deba tomarse como definitiva en ese desahucio del cálculo; es posible que se hallen ,1900,1927,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,deba,finite,subj,subj1,That
"no creemos que se desconozcan, las afirmaciones autorizadas del Sr. Menéndez y Pelayo; de D. Modesto ",1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,desconozcan,finite,subj,subj1,That
"non  creemos que  desfallezca quanto  a Dios, puesto que  desfallezca quanto  a la iglesia  militante. Paresçe ",1400,a1450,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,desfallezca,finite,subj,subj1,That
no creemos que entrañe coacción para aceptar el bautismo.,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,entrañe,finite,subj,subj1,That
"No creemos que se esté autorizado para describir, aparte, un síndrome pluriglandular con senilismo ",1900,1943,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,esté,finite,subj,subj1,That
no creemos que estuviese dispuesto por lo mismo a conceder que aquella Metafísica era una ciencia.,1900,1973,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,estuviese,finite,subj,subj1,That
No creemos que exista país alguno que en tan corto espacio reúna tal copia de altivas y señoriales fortalezas,1900,1965,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,exista,finite,subj,subj1,That
"no creemos que se exponga á perseguir á su señoría en caso que tenga por conveniente retirarse."" Esto ",1800,1811,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,exponga,finite,subj,subj1,That
no creemos que fuese efecto de lo acordado en la junta mencionada.,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,fuese,finite,subj,subj1,That
"no creo que guarden ni pueden guardar otras, porque estas tienen muchas disimulaciones y conviene ",1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,guarden,finite,subj,subj1,That
"no creemos que se haga ny él lo consyenta. Y sy desta manera soys contentos —el rrey y vosotros, señores",1400,c1492,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haga,finite,subj,subj1,That
no creemos que haya podido rendir aquel homenaje ,1800,a1842,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
no creemos que haya en Sevilla otro techo de edificio particular que pueda admitir la comparación con éste.,1800,1899,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
no creemos que haya ningún industrial entendido que prefiera trabajadores embrutecidos y soeces á ,1800,p1885 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
no creemos que haya inconveniente en extender el campo de las técnicas a dominios más extensos que ,1900,1967,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
no creemos que se haya aducido ninguna seria hasta ahora.,1900,1966,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
pero no creemos que se haya llegado a resultados definitivos. Las nuevas estructuras están naciendo ahora ,1900,1949,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
"no creemos que se haya dicho aún la última palabra en materia de boxeo, ni mucho menos en lo que ",1900,1945,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
"No creemos que haya hoy un autor que suscriba esta opinión, no pudiéndose dudar que Arnaldo ",1900,1930,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
"no creemos que se haya insertado jamás en ningún periódico, y por añadidura ministerial, desde que la prensa ",1900,1903,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
No creemos que haya ningún escritor imparcial capaz de recriminar al conquistador de Valencia por la instancia ,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,haya,finite,subj,subj1,That
"no creemos que hubiera más edición que la de Amberes, 1558, por Juan Lacio, que hace juego con el ",1900,1905,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,hubiera,finite,subj,subj2,That
"No creemos que se impresionara más el último General de los jesuitas, el Padre Ricci, cuando Clemente ",1900,1927,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,impresionara,finite,subj,subj1,That
no creemos que inspirase la sátira ni la ironía aquellas punzantes palabras; ya podía decirse que los señores serían ,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,inspirase,finite,subj,subj1,That
"no creemos que llegase á ser profesión religiosa, aluden estos tercetos de una elegía de Montalvo (pág. ",1900,1905,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,llegase,finite,subj,subj1,That
"no creemos que merezca otro calificativo la acción de D. García de Romeu, referida por los cronistas",1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,merezca,finite,subj,subj1,That
no creemos que merezca el nombre de tal.,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,merezca,finite,subj,subj1,That
"no creemos que murieran 200.000 moros y sólo 25 cristianos, y más bien nos inclinamos a creer con algunos ",1800,1862,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,murieran,finite,subj,subj2,That
no creemos que ofrezca dificultad intelectual,1800,a1893,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,ofrezca,finite,subj,subj1,That
no creemos que ofrezca dificultades.,1800,1867,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,ofrezca,finite,subj,subj1,That
No creemos que pragmatice mejor la famosa finalidad de Bleuler este mismo señor ni que teleol,1900,1927,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pragmatice,finite,subj,subj1,That
no creemos que prive de fuerza al argumento de Campomanes. Pudieron influir los moriscos en la industria ,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,prive,finite,subj,subj1,That
"no creemos que pueda citarse, entre los hechos reprobables de los revolucionarios, algo de tan inútil crueldad ",1800,1860,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
"Nosotros no creemos que se pueda dar semejante título a la suspensión de ciertas garantías y formalidades, ",1800,1841-1843 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
no creemos que pueda ,1800,1841-1843 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
"no creemos que se pueda prescindir de la deuda flotante, pero la limitamos a anticipos sobre los ingresos ",1800,1894,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
No creemos que pueda establecerse una relación simbólica entre la posición original del feto y la del ,1800,1880-1881 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
no creemos que pueda ser campo que solucione nuestros males. El título de Licenciado en Derecho hay que ,1900,1970,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
"no creemos que pueda proponerse como doctrina expresa de la Iglesia, sino a lo sumo, como opinión de algunos ",1900,1952-1956 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
ya no creemos que se pueda negar a la literatura islámica el puesto de honor que le corresponde en el solemnísimo ,1900,1919,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,pueda,finite,subj,subj1,That
no creemos que puedan alcanzamos sus ofensas,1800,1860,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,puedan,finite,subj,subj1,That
no creemos que puedan los labios pronunciar el dulce nombre de Cristo mientras lo niega el corazón,1800,1876-1877 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,puedan,finite,subj,subj1,That
realidad no creemos que puedan darse reglas generales sobre este punto; el pronóstico de cada tipo psicopático ,1900,1919-1936 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,puedan,finite,subj,subj1,That
No creemos que puedan señalarse diferencias esenciales entre la sintomatología del sofoco de las castradas y el ,1900,1919-1936 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,puedan,finite,subj,subj1,That
solo no creo que repararan en que no vayan despachadas por Cancelleria pero que lo tendran por mas fauor; ,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,repararan,finite,subj,subj2,That
"no creemos que sea, no podriamos sino hauer mucho enojo. Y screuid nos luego lo que en ello fare",1400,1497,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
No creemos que sea necesario demostrar la identidad que existe entre el instinto intelectual de Balmes y la ,1800,1890,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
No creemos que sea daño dilatar la victoria para asegurarla más. Y aunque nada de lo que Vuestra Santidad ,1800,1880-1881 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
No creemos que sea necesario más,1800,1877,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
no creemos que sea muy extensa.,1800,c1870-1905 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
", no creemos que sea preciso ahora tratar en detalle su funcionamiento. Por ello nos remitimos a lo que ",1900,1966,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
"no creemos que sea la más aconsejada por la experiencia, la razón y la doctrina católica sobre la construcción ",1900,1952-1956 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
no creemos que sea necesario añadir otras más al asunto.,1900,1931,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
no creemos que sea esto práctico para los aficionados,1900,1924,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
"no creemos que sea solamente una redundancia. Lo ordenado y concertado, lo desordenado y desconcertado",1900,1923-1974 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
"no creemos que sea necesario, además de que tenemos constituidas las partes de otra manera que ",1900,c1916,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
aunque no creemos que sea una estadística completa de la población del reino valenciano. Y su importancia ,1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
"no creemos que sea licito al poeta ni al novelista desfigurar un hecho histórico, y en esto defendemos la opinión ",1900,1901,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sea,finite,subj,subj1,That
"No creemos que sean inútiles; pero no es éste el lugar de discutir cómo pueden utilizarse, sino de consignar ",1800,a1893,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,sean,finite,subj,subj1,That
"no creemos que signifique un quizá nos ponga en la pista de que el llamado eclecticismo, tal como suele entenderse",1900,1939,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,signifique,finite,subj,subj1,That
no creemos que suden especialmente,1900,1943,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,suden,finite,subj,subj1,That
"que no creemos que se superen, y recelamos que también esta vez tengan deplorable término las halagüeñas ",1800,1860,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,superen,finite,subj,subj1,That
"no creemos que tenga en el día influencia alguna el tal mago sobre nuestras mujeres, y, sin embarg",1800,1834,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,tenga,finite,subj,subj1,That
"no creemos que tenga gracia para hacer sonreír al lector. Ni a los granadinos, que están más serios que el ",1900,1967,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,tenga,finite,subj,subj1,That
"no creemos que tengan tanta utilidad las expediciones al polo, como las que se hiciesen á los barrios ",1800,p1885 ,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,tengan,finite,subj,subj1,That
No creemos que se trate más que de puras coincidencias de una artropatía y de una endocrinopatía,1900,1943,no creer que V,non-interrogative,"1st present (creo, creemos)",creemos,finite,ind,ind,trate,finite,subj,subj1,That
que no creen que ay su par en esta materia de governar con prudençia y rectitud yndios en este orbe: el qual ,1500,1545,no creer que V,non-interrogative,other,creen,finite,ind,ind,ay,finite,ind,ind,That
", porque no creen que ay Dios ni otra vida, y para aqueste efecto embían las pólices a Flandes y a Sevilla a su factor, el ",1500,1544,no creer que V,non-interrogative,other,creen,finite,ind,ind,ay,finite,ind,ind,That
non creen que  es por voluntad  sola si non  por la sapiençia de Dios que  neçestio todo este mundo por fuerça ,1400,1419-1432 ,no creer que V,non-interrogative,other,creen,finite,ind,ind,es,finite,ind,ind,That
"no creen que están feridos assí que no lo sienten, porque no les corre la sangre, pero dende a poca hora ",1400,1495,no creer que V,non-interrogative,other,creen,finite,ind,ind,estan,finite,ind,ind,That
No creen que están enfermos,1900,1966,no creer que V,non-interrogative,other,creen,finite,ind,ind,están,finite,ind,ind,That
"atales no creen que han de resucitar en el día del iuycio, pues que no dubdan de fazer tan grand yerro.",1200,1256-1263 ,no creer que V,non-interrogative,other,creen,finite,ind,ind,han,finite,ind,ind,That
"no creen que hay Dios ni tienen cuenta con religion alguna) confiesan que no hay cosa más eficaz y poderosa para conservar los estados y las repúblicas que la religion, y que ella es el principal fundamento de ",1500,1595,no creer que V,non-interrogative,other,creen,finite,ind,ind,hay,finite,ind,ind,That
". No creen que hay mas de nascer y morir, diciendo que con la vida del hombre acaban su ser y sus sentidos, ",1500,1522,no creer que V,non-interrogative,other,creen,finite,ind,ind,hay,finite,ind,ind,That
"no creen que haya habido tales caballeros en el mundo,  y yo muchas veces con diversas gentes y ocasiones ",1600,1615,no creer que V,non-interrogative,other,creen,finite,ind,ind,haya,finite,subj,subj1,That
"no creen que sea verdadera esta cuenta, saluo aquella que es ygual & entera, por eso nos conuiene contar ",1400,1495,no creer que V,non-interrogative,other,creen,finite,ind,ind,sea,finite,subj,subj1,That
non creen que sea nada,1400,p1450,no creer que V,non-interrogative,other,creen,finite,ind,ind,sea,finite,subj,subj1,That
"no creen que sea fiebre amarilla, y entre otras razones, hay la de haber empezado a manifestarse ",1800,1821,no creer que V,non-interrogative,other,creen,finite,ind,ind,sea,finite,subj,subj1,That
