Sentence,Period,Year,Year2,MClauseType,MClauseType2,Mverbclass,Mverbl,Mverbf,Mverbfin,Mverbtype,Construction,Everbf,Emood,Emoodrase,EClauseType
", y no creyendo que dél tales palabras huuiessen salido. Y también, muestra Fabricio ser hombre honrrado, no le ",1500,1566,1566,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que pasaría más adelante su atrevimiento.,1500,1579,1579,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que el ejército anjoino hubiese crecido tanto no hacía el rey dél tanta estima, y andaba a caza: y hallándose ",1500,1579,1579,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que el rey acudiese tan presto.,1500,1579,1579,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"Y no creyendo que avía de llegar la concertada hora, passó aquel día y la noche sin algún descanso.",1500,1580,1580,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que avía de llegarse,1500,1580,1580,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que lo fuesse, se llegaron a él y le preguntaron:",1500,1593,1593,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que en muger de tales prendas cupiesse tal liviandad y engaño. Entróse  ella tras él cerrando la puerta, y sin ",1500,1594,1594,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"Y no creyendo que en ninguna parte Hubiera a resistille atrevimiento, Como quien ya para robar se apresta",1500,1598,1598,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que auia para que, solo porque el lo dezia con tantas veras. Recibiola con gran deuocion, y alegria, respondiendo a ",1600,1600,1600,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que eran de la gente que huia, sino de la que se aparejaba contra ellos, aflojaron su furia, ",1600,1601,1601,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que tanto le estimabas,1600,1604,1604,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que en reino estraño importaba decir su nombre. No quiso más información el capitán de lo que pretendía, aunque un alférez la preguntó por Nise, a quien ella, turbada y arrepentida de haber ",1600,1604,1604,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que hay amargo ni acedo, sino en sólo sus padres. Esto las inquieta, trayéndolas desasosegadas, desvanecidas y sin juicio. Como miran esto, ¿por qué no ponen los ojos en la otra ",1600,1604,1604,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo Que quien en ella para Dios se embarca, Alcança à Dios, su sol eterno viendo: Sin lleuar de ",1600,1609,1609,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"Y no creyendo que la fama calle La determinacion de su jornada Bueluen al campo a dar auiso a Guido Del ya muerto Español, y el Persa huydo.  Alegre espera Alfonso (triste caso) Al Castellano Yllan",1600,1609,1609,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que Celio, caballero tan principal, tan enamorado y tan obligado, se infamaría en la codicia de aquellas joyas, viendo que ya daban las dos de la iglesia mayor, pasó el puente de Alcántara y comenzó ",1600,1621,1621,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que Celio, caballero tan principal, tan enamorado y tan obligado, se infamaría en la codicia de aquellas ",1600,1621,1621,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", No creyendo que el fuerte sarracino Con la espada rompiera la espantosa Reja y del duro acero el temple ",1600,1624,1624,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"y no creyendo q ue   podria vencerla aquella noche, al pie de vn arbol esperò al día, y con la primera luz salio de aquel ",1600,1629,1629,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"Y no creiendo que la letra era suia, hizo esa satisfaccion impresa (digo que hay hombres que imprimen como si no se ",1600,1675,1675,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que tal maldad pasara; pero, ocupando el pecho todo un pasmo, hiela el aliento si la voz embarga",1700,1754,1754,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que fuese tanta la cantidad, pues no podía imaginarse que Eusebio hubiese llegado a ser tan ",1700,1786,1786,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que una plaza tan bien pertrechada pudiera rendirse sino después de mucho tiempo, lo que quizá daría lugar a los franceses para venir a socorrerle; más el Gran Capitán, considerada bien la ",1800,1807,1807,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"No creyendo que sus enemigos intentasen nada hasta la venida del buen tiempo, tampoco ellos proyectaban nada",1800,1807,1807,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que se comprometían nada en ello, y bien seguros de que no había en el mundo otro rey más ",1800,1832,1832,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que estuviesen bajo los límites del gobernador don Francisco Pizarro; más pues Dios lo ha dispuesto ,1800,1832,1832,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que fuesen más en número que otras veces, empezó a pelear con ellos con la esperanza de rechazarlos",1800,1832,1832,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que él era el Mesías, ¿qué sucederá á  los cristianos que confiesan que es el Hijo de Dios vivo, hecho ",1800,1855,1855,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que fuese obra de los hombres aquellas maravillas que hacian posible el tránsito de una ribera ,1800,1881,1881,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que aquella formalidad legal constituye el verdadero matrimonio, ni que sea condición ",1800,1883,1883,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que era discípulo.,1900,1909,1909,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que aquel caudillo de montoneras fuese un héroe ni mucho menos sino un montaraz imperativo, incomprensivo, ",1900,1912,1912,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", no creyendo que lo deuiessen matar. ",1300,1379-1384 ,1381,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
si non  creyendo que  la sustançia es sinple sin conpusiçion  njn  muchedunbre de cosas en qual quiera  manera quelo  cates & lo prueues fallallo as sin dosidat & partiçion & cabsa enel  entendimjento & fuera del segunt  se declarara eneste libro &  algunos estudiantes dixieron que  sus costunbres son sise mesmo & ,1400,1419-1432 ,1425,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"non creyendo que tan grand crueldat Acchiles cometiese. E desque lo vido, embióle dezir que viniese con él a fabla. E venido a ella, pidióle el cuerpo de Écthor; e non otorgándogelo, cometióle de le dar preçio. E fue entre ellos avenido que le diese por él tancto ",1400,1427-1428 ,1427,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"y el rey, non creyendo que la muerte le diese tan poco plazo, non entendio sinon en algunas cosas a su alma tocantes con el prior que alli estaua; y como ",1400,1469-1476 ,1472,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que violava la fe dándole seguro, pues él, aviéndole ofreçido paz y seguridad, lo avía quebrantado. El ",1400,1492-1493 ,1492,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que tan gran traición se nos había de hacer,1500,1519-1526 ,1522,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que aquella archa era figura del Dios verdadero, mas nosotros, creyéndole y confessándole por Dios verdadero, sin vergüença ",1500,1529-1531 ,1530,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", no creyendo que tan grand traición se les había de hacer; y como al tiempo que esta vez postrera entraron los nuestros en Tesaico",1500,1535-1557 ,1546,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que Platón aya metido en este número a los buenos poetas, dize en sus Narraciones filosóficas ",1600,1602-1613 ,1607,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", no creyendo que el mal era tan grande cuanto se lo representaban, y no queriendo que por su parte se comenzase el rompimiento",1600,1604-1618 ,1611,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que ay Dios, no le haze tanta injuria en no reverenciarle; pero el que lo sabe, y lo cree",1600,1612-a1625 ,1618,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que en la virtud que de su hija habían conocido que fuese verdad, y otras juzgándola mujer, de quien por nuestra desdicha se cree más presto lo malo que lo bueno. Y para asegurarse más del ",1600,1647-1649 ,1648,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo Que me trajese un dia Lóbrego, borrascoso, más tremendo Que la noche que huía.  Y al ver su horror",1800,1847-1849 ,1848,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"y no creyendo que sea muy terrible pecado la fornicación, lo cometen todas con la mayor sencillez y naturalidad imaginables",1800,1847-1857 ,1852,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que las risas expresaban bien su gozo, dio un brinco en el aire.",1800,1876-1877 ,1876,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que debía chocar de frente con la opinión general de los bandidos. ,1800,1876-1880 ,1878,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", non creyendo que era diciplo.  ",1200,a1260 ,1260,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", y non creyendo que las cosas pasadas abían procedido de la voluntad del Rey vuestro amo, y creyendo que para atajar y enmendar todo lo pasado con nuestra ayuda y fauor, dios ",1400,a1491,1491,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que está aquí el cuerpo del Señor, no rescibirá Salvador, sino Juez contra sí que lo juzgue como juzgó a Judas. Y el ",1500,a1540,1540,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que los Xarifes se arriscaran a dar batalla tan determinadamente como lo hizieron. Tenían los Xarifes ordenadas [102] sus hazes en dos batallas, la una tenía el Rei de Sus con los tiradores ",1500,a1575,1575,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"El maestro non creyendo que esta era grand pena, extendio la mano, ",1400,c1400-c1423,1411,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"por quanto non creyendo que el mundo por Dios fue criado, non verniamos en cognosçimiento que la ley fuese dada a Moysen en el monte de Synay con tantos miraglos, nin menos aueria fe nin darian abtoridat a los miraglos nin se inclinarian a ninguna disciplina rescebir.",1400,c1422-1433 ,1427,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"Al sallyr de Egipto, non creyendo que Dios libralos podia, dixeron: ¿sy non auia fuessas en Egipto donde nos enterrasen, que nos troxiste a morir en el desyerto? II. Quando las aguas de la contradiçion, la qual agua demandaron temptando a Dios. III. Quando en el yermo de Syn demandaron pan, e sea verdat ",1400,c1422-1433 ,1427,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"non creyendo que nadie la viese, se lebantó e al palaçio se bolbió, pero no tanto sin algún pensamiento más que fasta allí, el qual la hizo ser más agradable a sí mesma que fasta allí. E dende adelante, quando al jardín abía de entrar, más se ",1400,c1450,1450,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"non creyendo que tan aýna aya de morir, lo qual es cierto que se faze por instrución del diablo. Por quanto muchos,  por tal falsa esperança engañados, mueren ",1400,c1479-1484 ,1481,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"su negocio no creyendo que * estas tierras tenían oro ni otra cosa de provecho; mayormente, viendo después que los Reyes gastaban en los otros viajes muncha [ sic ] suma de dineros y no * les venía provecho ",1500,c1527-1561 ,1544,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que violaba la fe dándole seguro, pues habiéndole él ofrecido paz y seguridad lo había quebrantado. El ",1500,c1527-1561 ,1544,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"y no creyendo que aquel dia se viera, fui de palacio á visitar al marqués de Estepa, y en este medio los porteros del Consejo por su mandado, no solo me llamaron segun lo ordinario, mas aun sallieron á ",1500,c1594,1594,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que él se atreviera a decir tal al capitán, porque profesaba mi amistad, aunque Antonio siempre me decía que no me fiase de él, ",1600,c1612,1612,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
No creyendo que fuera De sus tragedias ésta la postrera,1600,c1641-1643 ,1642,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", no creyendo que el maestre de Santiago esperaría la fuerza de su gente, ",1400,p1480-1484 ,1482,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
", que no creyendo que los moros esperasen en aquella çibdat, fueron negligentes en proveer las cosas neçesarias para la hueste que en reyno estraño entra a facer guerra.",1400,p1480-1484 ,1482,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"y el principe no creyendo que vuestro favor pretendo, oy con notable porfia me mandó, que de su amor Fenix, os encareziese ",1600,p1632,1632,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
No creyendo que en la tierra Mas fortuna haber pudiese Que la que él experimenta. A poco rato de marcha Un viejo judío ,1800,p1822 ,1822,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que las cosas eran mudadas— ,1500,c1527-1561 ,1544,noninterrogative,,non-factive,creer (believe),cryendo,nonfinite,gerund,,,,,
& no credian que fuesse por su jnpotencia. ,1300,1376-1396 ,1386,noninterrogative,declarative,non-factive,creer (believe),credian,finite,ind,other,fuesse,subj,subj,unambiguous
no credian que los de Athenas se partiessen de noche,1300,1379-1384 ,1381,noninterrogative,declarative,non-factive,creer (believe),credian,finite,ind,other,partiessen,subj,subj,unambiguous
no credian que tanta moltitut ni tanto poderio uiniesse contra ellos,1300,1379-1384 ,1381,noninterrogative,declarative,non-factive,creer (believe),credian,finite,ind,other,veniesse,subj,subj,unambiguous
si ya no cree que es honra y bien ufano ser muerto o preso por tan fuerte mano.» Pues como los tres reyes ciertos fueron ,1500,1549,1549,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,es,ind,ind,unambiguous
; ni engaño ni traición no cree que cabe en blanco pecho y risa tan suave,1500,1549,1549,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,cabe,ind,ind,unambiguous
no cree que los tormentos que están por venir a los soberbios peccadores son perpetuos y los gozos de los justos eternos. Loco ,1500,1553,1553,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,son,ind,ind,unambiguous
"El que no cree que resuzitó Cristo, no es maravilla que no crea que hai resurrezion de muertos. Lo mesmo es dezir, si Cristo es predicado que resuzitó de los muertos, etc. que dezir, si ",1500,1557,1557,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,resucitó,ind,ind,unambiguous
. Dice que aun no cree que está acá,1500,1574,1574,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,está,ind,ind,unambiguous
no cree que mató  animales para ello,1500,1588,1588,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,mato,ind,ind,unambiguous
y aún no cree que ha comido; ,1600,1654,1654,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,ha,ind,ind,unambiguous
"y en gran rato no cree que lo soñaba, sino que le sucedía: tan creídos tienen los hombres sus deseos. ",1600,1654,1654,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,soñaba,ind,ind,unambiguous
"No cree  que hay obra más excelente en el mundo que la más estrafalaria de las comedias, y por un minuto de Marta aparente o del Diablo predicador, dejaría diez representaciones de Don Sancho García, de Atahualpa, o ",1700,1785,1785,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,hay,ind,ind,unambiguous
"no cree que hay familiares, espectros, lamias, brujas de copete, vampiros, mágica blanca, y mágica negra y verde; yo confieso ",1800,1834,1834,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,hay,ind,ind,unambiguous
Pues no cree que va a encontrar un marido en la lección de geografía y de historia... ¡Teniendo dote! Esto no es cuento: esta es la verdadera ,1800,1835,1835,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,va,ind,ind,unambiguous
"que si el Sr. Donoso no cree que se puede llevar a todo un pueblo a un tribunal de justicia, tampoco se ha de llevar a una nación ",1800,1845,1845,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,puede,ind,ind,unambiguous
Aún no cree que la ciudad está bastante desfallecida,1800,1874,1874,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,esta,ind,ind,unambiguous
"si no cree que consiste principalmente en perfeccionar á los que dirige, y tanto más, cuanto más han puesto en ",1800,1877,1877,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,consiste,ind,ind,unambiguous
"El que no cree que hay otra vida, otro juez, otra ley, después de nuestras leyes, nuestros jueces y nuestra existencia, que tenga, como ",1800,1877,1877,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,hay,ind,ind,unambiguous
"no cree que vivirá en las vidas de sus descendientes de carne, sino en las de los que admiren sus cuadros, y me deja su hijo para mejor quedarse con su gloria. ",1900,1917,1917,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,vivirá,ind,ind,unambiguous
no cree que tiene obligaciones,1900,1930,1930,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,tiene,ind,ind,unambiguous
"Hay quien cree que no hay Dios y quien no cree que hay Dios, ",1900,1936,1936,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,hay,ind,ind,unambiguous
"si no cree que ha sido la maldita pobreza la que ha obligado a esas mujeres... —se interrumpió, ",1900,1975,1975,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,ha,ind,ind,unambiguous
& el que  non cree que esto faze Dios segunt  ellos niega seer Dios obrador/ ,1400,1419-1432 ,1425,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,faze,ind,ind,unambiguous
", de manera que no cree que jamás podrá acabarse por más que la fortuna o tiempo quiera. Y estando ymaginando y sin quexarse venir vio a dos pastoras del aldea al soto y claro río a recrearse. La una era Solisa, otra Olinea, la una de ",1500,1554-1559 ,1556,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,podra,ind,ind,unambiguous
"porque todo le parece errado cuando no cree que  nace de la mente de su príncipe, ",1600,1640-1642 ,1641,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,nace,ind,ind,unambiguous
 non cree que es tenudo de ffazer aquella cosa. ,1200,a1260 ,1260,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,es,ind,ind,unambiguous
"), si no cree que, porque no se mosquee, le han castigado la cola, mamóla.",1500,a1589-a1650 ,1619,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,han,ind,ind,unambiguous
conffessarsse ssi él non cree que por aquel ssu mandamiento lo sserá et que él ha poder de Nuestro Ssennor Ihesu Cristo para ffazerlo ssaluar.,1200,c1252-1270 ,1261,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,será,ind,ind,unambiguous
"Atanto que non cree que se partira de tiniebra a lux, ",1400,c1422-1433 ,1427,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,partira,ind,ind,unambiguous
"dize el nigligente confuso al deligente fiel es que non cree que ay a él algunt prouecho en trabajarse por estorçer los males o quitar los bienes, pues que ya es determinado o sentençiado, ",1400,c1450,1450,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,hay,ind,ind,unambiguous
"aún no cree que la  tiene, ",1500,c1553-1556 ,1554,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,tiene,ind,ind,unambiguous
"; porque no cree que hay otra cosa en que nadie se deba emplear, ni buscar sino a quien ella busca y a quien ella ama, pareciéndole que no hay otra cosa que querer ni ",1500,c1578,1578,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,hay,ind,ind,unambiguous
"No cree que podrá désta escaparse, el mercader lo piensa en ser tercera y así comiensa luego a repararse de aquel auiso que antes no tuuiera. El moso no pretende descuydarse en el dudoso trance que se ",1500,c1580,1580,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,podra,ind,ind,unambiguous
no cree q ue   llegara jamas el quando. ,1500,c1580-1591 ,1585,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,llegara,ind,ind,unambiguous
"si no cree que, porque no se mosquee, le han castigado la cola, mamóla.",1600,c1600,1600,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,han,ind,ind,unambiguous
"si él no cree que le aborreces, no logras el favor de aborrecer. Antes lisonjera en todo las que habías de ofrecer iras a tu hermosa ",1600,c1615-1644 ,1629,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,aborreces,ind,ind,unambiguous
"usted no cree que en Alemania, en Italia, ",1900,1952,1952,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,Na,Na,Na,unambiguous
se ha de non  espera & donde non  cree que  alguna  flauta que  es alguna  parlera persona  esto cantara  & publico lo declarara & dira / ca muchas son  las flautas queson  muchos parleros / los quales  non  pueden  ,1400,c1450,1450,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,cantara,subj,ra,unambiguous
y no cree que le huya,1500,1549,1549,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,huya,subj,subj,unambiguous
"no cree que deje por ninguna guisa Rugero a quien lo pena y lo desuela: mas si no torna, jura aquí sin risa que no ",1500,1549,1549,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,deje,subj,subj,unambiguous
"no cree que tengan tantas ni tales ceremonias en su servicio; y dice otras cosas muchas admirables de su señorío y grandeza e de su gobernación y de los otros señores, y de los oficios mecánicos que entre ",1500,1585,1585,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,tengan,subj,subj,unambiguous
"y aun no creo que llega S. Jerónimo a mal tiempo diciendo que no se llevan bien pensamientos sabios con mesa muy proveída, y lo confirma Horacio.",1500,1589,1589,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,llega,subj,subj,unambiguous
"no cree que aquellas observaciones sean, ni puedan ser de tal exactitud que pueda concluirse con seguridad las pretendidas variaciones atmosféricas",1700,1793,1793,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,sean,subj,subj,unambiguous
no cree que ninguna de las vidas que ofrece ahora al público pueda ser tachada de contradecir al título del libro.,1800,1807,1807,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,pueda,subj,subj,unambiguous
"ella no cree que sea cierto el crimen que denuncio... Ha criado a sus pechos a mi marido, y la engaña el amor de madre",1800,1849,1849,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,sea,subj,subj,unambiguous
"no cree que pueda ser reincidente, ni que consagre al mal la vida que le ha dejado.",1800,1865,1865,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,pueda,subj,subj,unambiguous
no cree que vayamos pronto a Madrid; ,1800,1876,1876,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,vayamos,subj,subj,unambiguous
"André no cree que la pepita sea una enfermedad, sino un signo de otro mal oculto, y que se manifiesta al exterior en aquella forma.",1800,1895,1895,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,sea,subj,subj,unambiguous
No cree que el fin de estos proyectos sea obtener mayores ingresos,1900,1909,1909,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,sea,subj,subj,unambiguous
no cree que esa su existencia sea por razones demostrables o que hasta hoy nadie con ellas la ha demostrado irrefutablemente.,1900,1913,1913,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,sea,subj,subj,unambiguous
No cree que Dios reconstruya la aldea destruída y repoblada. ,1900,1919,1919,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,reconstruya,subj,subj,unambiguous
no cree que sea civil ni humano siquiera el imperialismo de una oligarquía de negociantes.,1900,1921,1921,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,sea,subj,subj,unambiguous
es porque no cree que en la mía se guarden documentos atestiguadores de sus fechorías y depredaciones.,1900,1925,1925,noninterrogative,declarative,non-factive,creer (believe),cree,finite,ind,other,guarden,subj,subj,unambiguous
